time_day_part,crime_type,crime_count
Midnight,"BATTERY - SIMPLE ASSAULT",19
Afternoon,"VANDALISM - MISDEAMEANOR ($399",12
Midnight,"RAPE, FORCIBLE",4
Afternoon,"SHOPLIFTING - PETTY THEFT ($95",38
Midnight,"OTHER MISCELLANEOUS CRIME",3
Midnight,"THEFT-GRAND ($950.01 & OVER)EX",5
Night,"BURGLARY FROM VEHICLE",21
Morning,"CRIMINAL THREATS - NO WEAPON D",7
Afternoon,"THEFT-GRAND ($950.01 & OVER)EX",25
Afternoon,ARSON,2
Afternoon,ROBBERY,12
Morning,"ASSAULT WITH DEADLY WEAPON, AG",16
Evening,"ASSAULT WITH DEADLY WEAPON, AG",12
Morning,KIDNAPPING,26
Afternoon,"CRIMINAL THREATS - NO WEAPON D",7
Evening,"VANDALISM - FELONY ($400 & OVE",17
Evening,"SHOPLIFTING - PETTY THEFT ($95",8
Midnight,KIDNAPPING,9
Morning,"VANDALISM - FELONY ($400 & OVE",21
Afternoon,"BATTERY - SIMPLE ASSAULT",54
Midnight,BURGLARY,8
Midnight,"THEFT, PERSON",7
Midnight,"VANDALISM - FELONY ($400 & OVE",12
Midnight,"CRIMINAL THREATS - NO WEAPON D",2
Midnight,"INTIMATE PARTNER - SIMPLE ASSA",15
Morning,"BATTERY WITH SEXUAL CONTACT",13
Midnight,"VANDALISM - MISDEAMEANOR ($399",3
Morning,"BIKE - STOLEN",8
Morning,"VANDALISM - MISDEAMEANOR ($399",6
Morning,"BATTERY POLICE (SIMPLE)",4
Midnight,"THEFT PLAIN - PETTY ($950 & UN",15
Night,"BATTERY - SIMPLE ASSAULT",17
Evening,"BATTERY - SIMPLE ASSAULT",16
Evening,"THEFT-GRAND ($950.01 & OVER)EX",6
Night,"VANDALISM - MISDEAMEANOR ($399",4
Morning,BURGLARY,9
Midnight,"VEHICLE - STOLEN",6
Evening,"THEFT PLAIN - PETTY ($950 & UN",13
Evening,"BURGLARY FROM VEHICLE",52
Morning,ROBBERY,9
Morning,"BATTERY - SIMPLE ASSAULT",59
Afternoon,KIDNAPPING,19
Morning,"INTIMATE PARTNER - SIMPLE ASSA",10
Afternoon,BURGLARY,9
Morning,"SHOPLIFTING - PETTY THEFT ($95",13
Morning,TRESPASSING,10
Midnight,"ASSAULT WITH DEADLY WEAPON, AG",18
Evening,KIDNAPPING,15
Afternoon,"ASSAULT WITH DEADLY WEAPON, AG",13
Night,TRESPASSING,2
Evening,"INTIMATE PARTNER - SIMPLE ASSA",4
Midnight,"BURGLARY FROM VEHICLE",16
Morning,"THEFT PLAIN - PETTY ($950 & UN",26
Afternoon,"THEFT PLAIN - PETTY ($950 & UN",41
Evening,"THEFT FROM MOTOR VEHICLE - PET",7
Night,"ASSAULT WITH DEADLY WEAPON, AG",4
Afternoon,"BURGLARY FROM VEHICLE",46
Morning,"BURGLARY FROM VEHICLE",29
Morning,"THEFT FROM MOTOR VEHICLE - GRA",5
Midnight,TRESPASSING,4
Night,"THEFT PLAIN - PETTY ($950 & UN",2
Evening,ROBBERY,6
Night,"THEFT FROM MOTOR VEHICLE - PET",2
Afternoon,"VEHICLE - STOLEN",24
Night,"BATTERY POLICE (SIMPLE)",1
Midnight,"THEFT FROM MOTOR VEHICLE - PET",3
Evening,"THEFT, PERSON",5
Afternoon,"THEFT FROM MOTOR VEHICLE - ATT",1
Evening,"THROWING OBJECT AT MOVING VEHI",1
Evening,"VANDALISM - MISDEAMEANOR ($399",10
Evening,BURGLARY,8
Afternoon,"THEFT OF IDENTITY",6
Afternoon,"BIKE - STOLEN",12
Afternoon,"THEFT FROM MOTOR VEHICLE - GRA",3
Morning,"BUNCO, GRAND THEFT",4
Night,"VEHICLE - STOLEN",5
Evening,"CRIMINAL THREATS - NO WEAPON D",8
Evening,"INTIMATE PARTNER - AGGRAVATED",3
Evening,TRESPASSING,5
Afternoon,TRESPASSING,3
Midnight,"SHOPLIFTING - PETTY THEFT ($95",1
Evening,"ATTEMPTED ROBBERY",5
Evening,"OTHER ASSAULT",2
Midnight,"BOMB SCARE",1
Midnight,"THEFT FROM MOTOR VEHICLE - GRA",3
Midnight,"INTIMATE PARTNER - AGGRAVATED",5
Evening,"VEHICLE - STOLEN",21
Morning,"THEFT-GRAND ($950.01 & OVER)EX",23
Afternoon,"BRANDISH WEAPON",4
Midnight,"BUNCO, GRAND THEFT",1
Afternoon,"ATTEMPTED ROBBERY",3
Morning,"OTHER MISCELLANEOUS CRIME",4
Night,"VANDALISM - FELONY ($400 & OVE",6
Night,"SEXUAL PENETRATION W/FOREIGN O",1
Morning,"VIOLATION OF COURT ORDER",2
Morning,"VEHICLE - STOLEN",14
Midnight,"BURGLARY, ATTEMPTED",1
Afternoon,"THEFT, PERSON",3
Midnight,"BRANDISH WEAPON",4
Midnight,"BIKE - STOLEN",1
Morning,"VIOLATION OF RESTRAINING ORDER",3
Afternoon,"VANDALISM - FELONY ($400 & OVE",15
Night,"THEFT, PERSON",2
Afternoon,"THEFT FROM MOTOR VEHICLE - PET",14
